date,The Shawshank Redemption 1994,The Dark Knight 2008,Inception 2010,Fight Club 1999,Forrest Gump 1994,isPartial
2020-11-01,8,27,15,7,0,False
2020-11-08,11,24,9,12,8,False
2020-11-15,0,18,12,0,11,False
2020-11-22,8,28,17,12,0,False
2020-11-29,0,12,23,0,9,False
2020-12-06,0,21,12,7,12,False
2020-12-13,0,22,18,8,8,False
2020-12-20,0,25,12,9,12,False
2020-12-27,0,21,14,14,13,False
2021-01-03,0,26,15,13,12,False
2021-01-10,0,24,10,0,10,False
2021-01-17,0,22,9,12,12,False
2021-01-24,0,18,10,11,10,False
2021-01-31,0,20,13,12,0,False
2021-02-07,0,17,9,11,0,False
2021-02-14,0,19,15,12,9,False
2021-02-21,0,24,16,8,10,False
2021-02-28,0,27,15,7,7,False
2021-03-07,0,29,9,9,12,False
2021-03-14,0,27,14,10,10,False
2021-03-21,0,23,11,8,10,False
2021-03-28,0,22,12,8,0,False
2021-04-04,0,21,0,9,12,False
2021-04-11,0,13,20,0,0,False
2021-04-18,9,17,13,10,16,False
2021-04-25,0,28,12,12,0,False
2021-05-02,0,27,10,14,0,False
2021-05-09,0,26,13,0,9,False
2021-05-16,0,27,12,11,12,False
2021-05-23,8,15,17,0,0,False
2021-05-30,0,18,14,12,8,False
2021-06-06,0,27,10,10,8,False
2021-06-13,8,10,12,9,0,False
2021-06-20,0,19,0,0,17,False
2021-06-27,13,15,9,14,9,False
2021-07-04,0,19,19,0,0,False
2021-07-11,0,20,9,0,0,False
2021-07-18,0,27,11,12,38,False
2021-07-25,0,22,10,11,20,False
2021-08-01,0,18,9,0,8,False
2021-08-08,0,23,25,9,9,False
2021-08-15,0,13,11,13,0,False
2021-08-22,0,16,16,0,22,False
2021-08-29,0,20,9,0,10,False
2021-09-05,0,16,10,0,0,False
2021-09-12,0,17,11,0,0,False
2021-09-19,0,15,9,0,9,False
2021-09-26,0,26,9,9,0,False
2021-10-03,11,17,0,11,0,False
2021-10-10,0,21,0,11,0,False
2021-10-17,0,14,9,10,0,False
2021-10-24,0,20,9,13,0,False
2021-10-31,0,28,11,11,0,False
2021-11-07,0,22,12,0,0,False
2021-11-14,0,14,0,0,0,False
2021-11-21,0,19,14,14,0,False
2021-11-28,9,18,0,0,0,False
2021-12-05,0,19,0,15,0,False
2021-12-12,0,19,0,0,0,False
2021-12-19,0,19,10,0,10,False
2021-12-26,0,19,15,9,0,False
2022-01-02,0,19,14,9,0,False
2022-01-09,0,22,14,11,10,False
2022-01-16,0,35,11,9,0,False
2022-01-23,0,30,9,10,11,False
2022-01-30,0,26,0,9,11,False
2022-02-06,10,23,0,8,0,False
2022-02-13,0,29,12,7,7,False
2022-02-20,0,24,9,6,7,False
2022-02-27,0,37,11,6,0,False
2022-03-06,7,50,13,7,10,False
2022-03-13,8,47,13,9,0,False
2022-03-20,0,37,19,8,8,False
2022-03-27,0,27,15,0,14,False
2022-04-03,0,28,9,5,11,False
2022-04-10,9,23,7,0,8,False
2022-04-17,0,33,14,9,7,False
2022-04-24,0,28,10,14,7,False
2022-05-01,0,26,10,9,9,False
2022-05-08,0,23,12,8,12,False
2022-05-15,0,20,12,8,9,False
2022-05-22,7,14,12,11,7,False
2022-05-29,7,16,0,8,12,False
2022-06-05,0,13,0,0,16,False
2022-06-12,0,22,0,13,8,False
2022-06-19,0,18,11,9,14,False
2022-06-26,0,18,14,0,6,False
2022-07-03,0,23,14,0,11,False
2022-07-10,9,18,8,0,0,False
2022-07-17,0,20,15,0,16,False
2022-07-24,0,23,8,12,13,False
2022-07-31,0,24,14,10,15,False
2022-08-07,0,24,8,0,23,False
2022-08-14,0,18,14,13,17,False
2022-08-21,0,22,8,11,11,False
2022-08-28,0,13,12,10,0,False
2022-09-04,0,17,10,9,0,False
