title,title_norm,year,rt_tomato,rt_audience,tomatometer_count,audience_count,tomatometer_status,audience_status
Percy Jackson & the Olympians: The Lightning Thief,percy jackson the olympians the lightning thief,2010.0,49.0,53.0,149.0,254421.0,Rotten,Spilled
Please Give,please give,2010.0,87.0,64.0,142.0,11574.0,Certified-Fresh,Upright
10,10,1979.0,67.0,53.0,24.0,14684.0,Fresh,Spilled
12 Angry Men (Twelve Angry Men),12 angry men twelve angry men,1957.0,100.0,97.0,54.0,105386.0,Certified-Fresh,Upright
"20,000 Leagues Under The Sea",20 000 leagues under the sea,1954.0,89.0,74.0,27.0,68918.0,Fresh,Upright
"10,000 B.C.",10 000 b c,2008.0,8.0,37.0,149.0,411140.0,Rotten,Spilled
The 39 Steps,the 39 steps,1935.0,96.0,86.0,51.0,23890.0,Certified-Fresh,Upright
3:10 to Yuma,3 10 to yuma,1957.0,96.0,79.0,28.0,9243.0,Fresh,Upright
Charly (A Heartbeat Away),charly a heartbeat away,2002.0,20.0,87.0,10.0,4819.0,Rotten,Upright
Abraham Lincoln,abraham lincoln,1930.0,82.0,40.0,11.0,457.0,Fresh,Spilled
Dark Water,dark water,2002.0,80.0,66.0,15.0,21475.0,Fresh,Upright
The Accused,the accused,1988.0,91.0,79.0,22.0,20821.0,Fresh,Upright
The Lost City,the lost city,2005.0,25.0,64.0,83.0,25944.0,Rotten,Upright
The Breaking Point,the breaking point,1950.0,100.0,86.0,10.0,335.0,Fresh,Upright
Adam's Rib,adam s rib,1949.0,96.0,86.0,28.0,10563.0,Fresh,Upright
The Bridge of San Luis Rey,the bridge of san luis rey,2005.0,4.0,35.0,24.0,1935.0,Rotten,Spilled
The Prowler (Cost of Living ),the prowler cost of living,1951.0,100.0,86.0,18.0,286.0,Fresh,Upright
Criminal,criminal,2004.0,69.0,57.0,124.0,6711.0,Fresh,Spilled
The Adventures of Mark Twain,the adventures of mark twain,1985.0,80.0,82.0,5.0,1046.0,Fresh,Upright
Deep Blue,deep blue,2005.0,67.0,80.0,52.0,4692.0,Fresh,Upright
The Adventures of Robin Hood,the adventures of robin hood,1938.0,100.0,89.0,48.0,33946.0,Certified-Fresh,Upright
Man Hunt,man hunt,1941.0,92.0,75.0,12.0,554.0,Fresh,Upright
Dead End,dead end,2003.0,75.0,60.0,8.0,10373.0,Fresh,Upright
Bandwagon,bandwagon,1997.0,80.0,91.0,5.0,386.0,Fresh,Upright
Whore,whore,2004.0,0.0,63.0,6.0,914.0,Rotten,Upright
Tristan & Isolde,tristan isolde,2006.0,31.0,71.0,121.0,220956.0,Rotten,Upright
Wild Side,wild side,2005.0,63.0,80.0,16.0,867.0,Fresh,Upright
A Tale of Two Pizzas,a tale of two pizzas,2003.0,38.0,,8.0,,Rotten,
Running Scared,running scared,2006.0,41.0,79.0,131.0,135400.0,Rotten,Upright
Going the Distance,going the distance,2004.0,0.0,61.0,5.0,13033.0,Rotten,Upright
Ultraviolet,ultraviolet,2006.0,8.0,30.0,83.0,279994.0,Rotten,Spilled
Home of the Brave,home of the brave,2004.0,93.0,48.0,15.0,866.0,Fresh,Spilled
Arthur and the Invisibles (Arthur and the Minimoys),arthur and the invisibles arthur and the minimoys,2007.0,22.0,56.0,92.0,134483.0,Rotten,Spilled
Malevolence,malevolence,2004.0,33.0,83.0,18.0,2622.0,Rotten,Upright
Eternal,eternal,2004.0,21.0,39.0,34.0,1295.0,Rotten,Spilled
A Farewell To Arms,a farewell to arms,1957.0,0.0,37.0,12.0,1460.0,Rotten,Spilled
The Narrow Margin,the narrow margin,1952.0,100.0,88.0,11.0,1135.0,Fresh,Upright
The Matador,the matador,2006.0,75.0,65.0,156.0,73701.0,Certified-Fresh,Upright
Smile,smile,2005.0,15.0,66.0,13.0,2059.0,Rotten,Upright
The Intruder (L'Intrus),the intruder l intrus,2005.0,87.0,73.0,30.0,9701.0,Fresh,Upright
Saint Ralph,saint ralph,2005.0,64.0,85.0,69.0,6203.0,Fresh,Upright
